성서번호	성서	장	절	문장
1	창세기	1	1	한처음에 하느님께서 하늘과 땅을 지어내셨다.
1	창세기	1	2	"땅은 아직 모양을 갖추지 않고 아무것도 생기지 않았는데, 어둠이 깊은 물 위에 뒤덮여 있었고 그 물 위에 하느님의 기운이 휘돌고 있었다."
1	창세기	1	3	"하느님께서 ""빛이 생겨라!"" 하시자 빛이 생겨났다."
1	창세기	1	4	그 빛이 하느님 보시기에 좋았다. 하느님께서는 빛과 어둠을 나누시고
1	창세기	1	5	"빛을 낮이라, 어둠을 밤이라 부르셨다. 이렇게 첫날이 밤, 낮 하루가 지났다."
1	창세기	1	6	"하느님께서 ""물 한가운데 창공이 생겨 물과 물 사이가 갈라져라!"" 하시자 그대로 되었다."
1	창세기	1	7	하느님께서는 이렇게 창공을 만들어 창공 아래 있는 물과 창공 위에 있는 물을 갈라놓으셨다.
1	창세기	1	8	"하느님께서 그 창공을 하늘이라 부르셨다. 이렇게 이튿날도 밤, 낮 하루가 지났다."
1	창세기	1	9	"하느님께서 ""하늘 아래 있는 물이 한 곳으로 모여, 마른 땅이 드러나라!"" 하시자 그대로 되었다."
1	창세기	1	10	"하느님께서는 마른 땅을 뭍이라, 물이 모인 곳을 바다라 부르셨다. 하느님께서 보시니 참 좋았다."
1	창세기	1	11	"하느님께서 ""땅에서 푸른 움이 돋아나라! 땅 위에 낟알을 내는 풀과 씨 있는 온갖 과일 나무가 돋아나라!"" 하시자 그대로 되었다."
1	창세기	1	12	이리하여 땅에는 푸른 움이 돋아났다. 낟알을 내는 온갖 풀과 씨 있는 온갖 과일 나무가 돋아났다. 하느님께서 보시니 참 좋았다.
1	창세기	1	13	"이렇게 사흗날도 밤, 낮 하루가 지났다."
1	창세기	1	14	"하느님께서 ""하늘 창공에 빛나는 것들이 생겨 밤과 낮을 갈라놓고 절기와 나날과 해를 나타내는 표가 되어라!"
1	창세기	1	15	"또 하늘 창공에서 땅을 환히 비추어라!"" 하시자 그대로 되었다."
1	창세기	1	16	하느님께서는 이렇게 만드신 두 큰 빛 가운데서 더 큰 빛은 낮을 다스리게 하시고 작은 빛은 밤을 다스리게 하셨다. 또 별들도 만드셨다.
1	창세기	1	17	하느님께서는 이 빛나는 것들을 하늘 창공에 걸어놓고 땅을 비추게 하셨다.
1	창세기	1	18	이리하여 밝음과 어둠을 갈라놓으시고 낮과 밤을 다스리게 하셨다. 하느님께서 보시니 참 좋았다.
1	창세기	1	19	"이렇게 나흗날도 밤, 낮 하루가 지났다."
1	창세기	1	20	"하느님께서 ""바다에는 고기가 생겨 우글거리고 땅 위 하늘 창공 아래에는 새들이 생겨 날아다녀라!"" 하시자 그대로 되었다."
1	창세기	1	21	이리하여 하느님께서는 큰 물고기와 물 속에서 우글거리는 온갖 고기와 날아다니는 온갖 새들을 지어내셨다. 하느님께서 보시니 참 좋았다.
1	창세기	1	22	"하느님께서 이것들에게 복을 내려주시며 말씀하셨다. ""새끼를 많이 낳아 바닷물 속에 가득히 번성하여라. 새도 땅 위에 번성하여라!"""
1	창세기	1	23	"이렇게 닷샛날도 밤, 낮 하루가 지났다."
1	창세기	1	24	"하느님께서 ""땅은 온갖 동물을 내어라! 온갖 집짐승과 길짐승과 들짐승을 내어라!"" 하시자 그대로 되었다."
1	창세기	1	25	하느님께서는 이렇게 온갖 들짐승과 집짐승과 땅 위를 기어 다니는 길짐승을 만드셨다. 하느님께서 보시니 참 좋았다.
1	창세기	1	26	"하느님께서는 ""우리 모습을 닮은 사람을 만들자! 그래서 바다의 고기와 공중의 새, 또 집짐승과 모든 들짐승과 땅 위를 기어 다니는 모든 길짐승을 다스리게 하자!"" 하시고,"
1	창세기	1	27	당신의 모습대로 사람을 지어내셨다. 하느님의 모습대로 사람을 지어내시되 남자와 여자로 지어내시고
1	창세기	1	28	"하느님께서는 그들에게 복을 내려주시며 말씀하셨다. ""자식을 낳고 번성하여 온 땅에 퍼져서 땅을 정복하여라. 바다의 고기와 공중의 새와 땅 위를 돌아다니는 모든 짐승을 부려라!"""
1	창세기	1	29	"하느님께서 다시, ""이제 내가 너희에게 온 땅 위에서 낟알을 내는 풀과 씨가 든 과일 나무를 준다. 너희는 이것을 양식으로 삼아라."
1	창세기	1	30	"모든 들짐승과 공중의 모든 새와 땅 위를 기어 다니는 모든 생물에게도 온갖 푸른 풀을 먹이로 준다."" 하시자 그대로 되었다."
1	창세기	1	31	"이렇게 만드신 모든 것을 하느님께서 보시니 참 좋았다. 엿샛날도 밤, 낮 하루가 지났다."
1	창세기	2	1	이리하여 하늘과 땅과 그 가운데 있는 모든 것이 다 이루어졌다.
1	창세기	2	2	"하느님께서는 엿샛날까지 하시던 일을 다 마치시고, 이렛날에는 모든 일에서 손을 떼고 쉬셨다."
1	창세기	2	3	이렇게 하느님께서는 모든 것을 새로 지으시고 이렛날에는 쉬시고 이 날을 거룩한 날로 정하시어 복을 주셨다.
1	창세기	2	4	하늘과 땅을 지어내신 순서는 위와 같았다.
1	창세기	2	5	"땅에는 아직 아무 나무도 없었고, 풀도 돋아나지 않았다. 야훼 하느님께서 아직 땅에 비를 내리지 않으셨고 땅을 갈 사람도 아직 없었던 것이다."
1	창세기	2	6	마침 땅에서 물이 솟아 온 땅을 적시자
1	창세기	2	7	"야훼 하느님께서 진흙으로 사람을 빚어 만드시고 코에 입김을 불어넣으시니, 사람이 되어 숨을 쉬었다."
1	창세기	2	8	야훼 하느님께서는 동쪽에 있는 에덴이라는 곳에 동산을 마련하시고 당신께서 빚어 만드신 사람을 그리로 데려다가 살게 하셨다.
1	창세기	2	9	야훼 하느님께서는 보기 좋고 맛있는 열매를 맺는 온갖 나무를 그 땅에서 돋아나게 하셨다. 또 그 동산 한가운데는 생명나무와 선과 악을 알게 하는 나무도 돋아나게 하셨다.
1	창세기	2	10	에덴에서 강 하나가 흘러 나와 그 동산을 적신 다음 네 줄기로 갈라졌다.
1	창세기	2	11	"첫째 강줄기의 이름은 비손이라 하는데, 은과 금이 나는 하윌라 땅을 돌아 흐르고 있었다."
1	창세기	2	12	그 땅은 좋은 금뿐 아니라 브돌라라는 향료와 홍옥수 같은 보석이 나는 곳이었다.
